GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,BP,LINE_MISSED,LINE_COVERED,SC,Statement_Coverage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,MC,MCCABE_COMPLEXITY,METHOD_MISSED,METHOD_COVERED
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,11,0,0,0,0,2,1,100%,0,2,1,100%,0,2
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,16,0,0,0,0,2,1,100%,0,2,1,100%,0,2
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,16,0,0,0,0,2,1,100%,0,2,1,100%,0,2
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,22,0,0,0,0,2,1,100%,0,2,1,100%,0,2
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils,47,1420,20,250,0.925925926,10,337,0.971181556,97%,20,184,0.901960784,90%,1,68
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,18,0,0,0,0,2,1,100%,0,2,1,100%,0,2
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,11,0,0,0,0,2,1,100%,0,2,1,100%,0,2
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,5,0,0,0,0,2,1,100%,0,2,1,100%,0,2
Apache Commons Collections,org.apache.commons.collections4,MultiMapUtils,32,77,4,16,0.8,9,22,0.709677419,71%,9,14,0.608695652,61%,5,8
Apache Commons Collections,org.apache.commons.collections4,TrieUtils,3,3,0,0,0,1,1,0.5,50%,1,1,0.5,50%,1,1
Apache Commons Collections,org.apache.commons.collections4,IterableUtils,58,526,3,59,0.951612903,7,120,0.94488189,94%,7,68,0.906666667,91%,4,40
Apache Commons Collections,org.apache.commons.collections4,ArrayStack,23,70,6,10,0.625,6,24,0.8,80%,6,10,0.625,63%,2,6
Apache Commons Collections,org.apache.commons.collections4,FactoryUtils,3,21,0,0,0,1,6,0.857142857,86%,1,6,0.857142857,86%,1,6
Apache Commons Collections,org.apache.commons.collections4,MapUtils,82,1014,10,178,0.946808511,22,285,0.928338762,93%,24,145,0.857988166,86%,16,59
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils.EquatorWrapper,2,32,1,1,0.5,1,9,0.9,90%,1,4,0.8,80%,0,4
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,16,0,0,0,0,2,1,100%,0,2,1,100%,0,2
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},4,20,1,1,0.5,0,4,1,100%,1,2,0.666666667,67%,0,2
Apache Commons Collections,org.apache.commons.collections4,ListUtils,51,376,8,66,0.891891892,10,90,0.9,90%,13,48,0.786885246,79%,6,18
Apache Commons Collections,org.apache.commons.collections4,QueueUtils,3,22,0,0,0,1,6,0.857142857,86%,1,6,0.857142857,86%,1,6
Apache Commons Collections,org.apache.commons.collections4,ListUtils.Partition,34,48,2,2,0.5,3,11,0.785714286,79%,3,3,0.5,50%,1,3
Apache Commons Collections,org.apache.commons.collections4,MultiSetUtils,3,18,0,0,0,1,6,0.857142857,86%,1,5,0.833333333,83%,1,5
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils.new Transformer() {...},0,13,0,0,0,0,2,1,100%,0,2,1,100%,0,2
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils.new Transformer() {...},0,13,0,0,0,0,2,1,100%,0,2,1,100%,0,2
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils.new Transformer() {...},0,13,0,0,0,0,2,1,100%,0,2,1,100%,0,2
Apache Commons Collections,org.apache.commons.collections4,ListUtils.CharSequenceAsList,0,16,0,0,0,0,5,1,100%,0,3,1,100%,0,3
Apache Commons Collections,org.apache.commons.collections4,MapUtils.new AbstractMapDecorator() {...},0,4,0,0,0,0,1,1,100%,0,1,1,100%,0,1
Apache Commons Collections,org.apache.commons.collections4,MapUtils.new AbstractSortedMapDecorator() {...},0,4,0,0,0,0,1,1,100%,0,1,1,100%,0,1
Apache Commons Collections,org.apache.commons.collections4,SplitMapUtils.WrappedGet,30,79,4,4,0.5,6,17,0.739130435,74%,8,12,0.6,60%,4,12
Apache Commons Collections,org.apache.commons.collections4,TransformerUtils,3,137,0,4,1,1,34,0.971428571,97%,1,25,0.961538462,96%,1,23
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils.CardinalityHelper,0,51,0,2,1,0,12,1,100%,0,7,1,100%,0,6
Apache Commons Collections,org.apache.commons.collections4,SplitMapUtils.WrappedPut,3,82,3,3,0.5,1,20,0.952380952,95%,3,15,0.833333333,83%,0,15
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMapMultiSet.MutableInteger,18,6,4,0,0,4,3,0.428571429,43%,4,1,0.2,20%,2,1
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMapMultiSet.UniqueSetIterator,0,53,0,2,1,0,16,1,100%,0,4,1,100%,0,3
Apache Commons Collections,org.apache.commons.collections4.multiset,SynchronizedMultiSet.SynchronizedSet,0,5,0,0,0,0,2,1,100%,0,1,1,100%,0,1
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSet.EntrySet,61,10,10,0,0,16,4,0.2,20%,8,2,0.2,20%,3,2
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSetDecorator,29,29,0,4,1,7,6,0.461538462,46%,6,7,0.538461538,54%,6,5
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSet.AbstractEntry,45,19,12,0,0,9,2,0.181818182,18%,8,2,0.2,20%,2,2
Apache Commons Collections,org.apache.commons.collections4.multiset,HashMultiSet,0,30,0,0,0,0,12,1,100%,0,4,1,100%,0,4
Apache Commons Collections,org.apache.commons.collections4.multiset,SynchronizedMultiSet,76,97,0,2,1,15,19,0.558823529,56%,3,10,0.769230769,77%,3,9
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMapMultiSet.MapBasedMultiSetIterator,4,112,1,13,0.928571429,1,26,0.962962963,96%,1,10,0.909090909,91%,0,4
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMapMultiSet,14,425,5,43,0.895833333,3,101,0.971153846,97%,5,40,0.888888889,89%,0,21
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSet.UniqueSet,0,41,0,2,1,0,10,1,100%,0,8,1,100%,0,7
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMapMultiSet.MultiSetEntry,0,16,0,0,0,0,5,1,100%,0,3,1,100%,0,3
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSet.MultiSetIterator,29,55,4,6,0.6,8,13,0.619047619,62%,3,6,0.666666667,67%,1,3
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSet.new Transformer() {...},0,9,0,0,0,0,2,1,100%,0,2,1,100%,0,2
Apache Commons Collections,org.apache.commons.collections4.multiset,PredicatedMultiSet,13,55,0,4,1,3,11,0.785714286,79%,2,11,0.846153846,85%,2,9
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMapMultiSet.EntrySetIterator,18,34,2,0,0,6,10,0.625,63%,2,3,0.6,60%,1,3
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSet,179,131,27,19,0.413043478,44,33,0.428571429,43%,24,21,0.466666667,47%,9,13
Apache Commons Collections,org.apache.commons.collections4.multiset,UnmodifiableMultiSet,19,67,0,2,1,5,21,0.807692308,81%,4,13,0.764705882,76%,4,12
Apache Commons Collections,org.apache.commons.collections4.queue,SynchronizedQueue,30,107,0,2,1,7,22,0.75862069,76%,1,11,0.916666667,92%,1,10
Apache Commons Collections,org.apache.commons.collections4.queue,AbstractQueueDecorator,20,12,0,0,0,6,4,0.4,40%,5,3,0.375,38%,5,3
Apache Commons Collections,org.apache.commons.collections4.queue,TransformedQueue,0,78,1,3,0.75,0,16,1,100%,1,10,0.909090909,91%,0,9
Apache Commons Collections,org.apache.commons.collections4.queue,CircularFifoQueue.new Iterator() {...},0,192,0,18,1,0,32,1,100%,0,13,1,100%,0,4
Apache Commons Collections,org.apache.commons.collections4.queue,CircularFifoQueue,27,337,4,44,0.916666667,6,86,0.934782609,93%,5,40,0.888888889,89%,1,20
Apache Commons Collections,org.apache.commons.collections4.queue,PredicatedQueue,0,39,0,0,0,0,10,1,100%,0,8,1,100%,0,8
Apache Commons Collections,org.apache.commons.collections4.queue,UnmodifiableQueue,8,64,0,2,1,2,20,0.909090909,91%,2,13,0.866666667,87%,2,12
