GROUP,PACKAGE,CLASS,Mutation Coverage,M_P,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,B_Coverage,B_P,LINE_MISSED,LINE_COVERED,Statement_Coverage,S_P,COMPLEXITY_MISSED,COMPLEXITY_COVERED,COMPLEXITY,METHOD_MISSED,METHOD_COVERED
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration,0.94,94,61,486,9,59,0.867647059,86.7647059,9,137,0.938356164,93.8356164,9,53,62,0,28
Apache Commons Configuration,org.apache.commons.configuration2.tree,DefaultExpressionEngineSymbols,0.95,95,0,166,0,4,1,100,0,45,1,100,0,14,14,0,12
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeTracker,0.95,95,8,344,2,26,0.928571429,92.8571429,1,79,0.9875,98.75,2,28,30,0,16
Apache Commons Configuration,org.apache.commons.configuration2,SubsetConfiguration,0.95,95,20,225,4,20,0.833333333,83.3333333,3,48,0.941176471,94.1176471,4,28,32,0,20
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfigurationLayout,0.95,95,13,661,4,80,0.952380952,95.2380952,4,173,0.97740113,97.740113,4,75,79,0,37
Apache Commons Configuration,org.apache.commons.configuration2.io,FileLocator,0.96,96,0,155,0,6,1,100,0,37,1,100,0,14,14,0,11
Apache Commons Configuration,org.apache.commons.configuration2.tree,ImmutableNode,0.96,96,0,318,0,26,1,100,0,66,1,100,0,32,32,0,19
Apache Commons Configuration,org.apache.commons.configuration2.builder,BasicBuilderParameters,0.96,96,6,455,0,46,1,100,2,109,0.981981982,98.1981982,0,52,52,0,29
Apache Commons Configuration,org.apache.commons.configuration2.convert,AbstractListDelimiterHandler,0.96,96,5,133,1,21,0.954545455,95.4545455,1,27,0.964285714,96.4285714,1,17,18,0,7
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler,0.96,96,65,919,4,74,0.948717949,94.8717949,13,292,0.957377049,95.7377049,4,112,116,0,77
Apache Commons Configuration,org.apache.commons.configuration2,AbstractConfiguration,0.96,96,128,1441,17,111,0.8671875,86.71875,16,354,0.956756757,95.6756757,15,155,170,0,105
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedBuilderParametersImpl,0.97,97,6,231,0,20,1,100,1,68,0.985507246,98.5507246,1,34,35,1,24
Apache Commons Configuration,org.apache.commons.configuration2,AbstractHierarchicalConfiguration,0.97,97,26,602,1,51,0.980769231,98.0769231,5,140,0.965517241,96.5517241,1,61,62,0,36
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodeIteratorBase,0.97,97,0,127,2,14,0.875,87.5,0,24,1,100,2,18,20,0,12
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction,0.97,97,4,538,3,41,0.931818182,93.1818182,0,135,1,100,3,54,57,0,35
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel,0.97,97,2,1059,7,87,0.925531915,92.5531915,0,266,1,100,7,97,104,0,57
Apache Commons Configuration,org.apache.commons.configuration2.tree,DefaultExpressionEngine,0.98,98,0,342,1,43,0.977272727,97.7272727,0,73,1,100,1,35,36,0,14
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilder,0.98,98,9,418,2,30,0.9375,93.75,1,106,0.990654206,99.0654206,2,35,37,0,21
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationLookup,1,100,0,21,0,2,1,100,0,7,1,100,0,4,4,0,3
Apache Commons Configuration,org.apache.commons.configuration2,FindNodeVisitor,1,100,0,25,0,2,1,100,0,10,1,100,0,6,6,0,5
Apache Commons Configuration,org.apache.commons.configuration2.event,Event,1,100,0,75,0,2,1,100,0,16,1,100,0,6,6,0,5
Apache Commons Configuration,org.apache.commons.configuration2.builder,CopyObjectDefaultHandler,1,100,0,33,0,2,1,100,0,13,1,100,0,4,4,0,3
Apache Commons Configuration,org.apache.commons.configuration2.builder,ConfigurationBuilderResultCreatedEvent,1,100,0,25,0,2,1,100,0,7,1,100,0,4,4,0,3
Apache Commons Configuration,org.apache.commons.configuration2.builder,ReloadingBuilderSupportListener,1,100,0,38,0,2,1,100,0,14,1,100,0,4,4,0,3
Apache Commons Configuration,org.apache.commons.configuration2.builder,ReloadingFileBasedConfigurationBuilder,1,100,0,87,0,2,1,100,0,27,1,100,0,12,12,0,11
Apache Commons Configuration,org.apache.commons.configuration2.builder.fluent,Parameters,1,100,0,185,0,2,1,100,0,27,1,100,0,17,17,0,16
Apache Commons Configuration,org.apache.commons.configuration2.io,ClasspathLocationStrategy,1,100,0,13,0,2,1,100,0,3,1,100,0,3,3,0,2
Apache Commons Configuration,org.apache.commons.configuration2.sync,ReadWriteSynchronizer,1,100,0,38,0,2,1,100,0,14,1,100,0,8,8,0,7
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeAddData,1,100,0,38,0,2,1,100,0,13,1,100,0,7,7,0,6
Apache Commons Configuration,org.apache.commons.configuration2,ImmutableConfigurationInvocationHandler,1,100,0,35,0,4,1,100,0,11,1,100,0,5,5,0,3
Apache Commons Configuration,org.apache.commons.configuration2,XMLDocumentHelper,1,100,0,192,0,4,1,100,0,58,1,100,0,20,20,0,18
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileBuilderParametersImpl,1,100,0,72,0,4,1,100,0,23,1,100,0,12,12,0,10
Apache Commons Configuration,org.apache.commons.configuration2.io,BasePathLocationStrategy,1,100,0,21,0,4,1,100,0,8,1,100,0,4,4,0,2
Apache Commons Configuration,org.apache.commons.configuration2.io,ConfigurationLogger,1,100,0,91,0,4,1,100,0,31,1,100,0,18,18,0,16
Apache Commons Configuration,org.apache.commons.configuration2,SubnodeConfiguration,1,100,0,99,0,6,1,100,0,26,1,100,0,14,14,0,11
Apache Commons Configuration,org.apache.commons.configuration2.event,EventType,1,100,0,64,0,6,1,100,0,20,1,100,0,9,9,0,6
Apache Commons Configuration,org.apache.commons.configuration2.builder,BuilderConfigurationWrapperFactory,1,100,0,71,0,6,1,100,0,21,1,100,0,9,9,0,6
Apache Commons Configuration,org.apache.commons.configuration2.io,AbsoluteNameLocationStrategy,1,100,0,24,0,6,1,100,0,6,1,100,0,5,5,0,2
Apache Commons Configuration,org.apache.commons.configuration2.reloading,CombinedReloadingController,1,100,0,63,0,6,1,100,0,17,1,100,0,9,9,0,6
Apache Commons Configuration,org.apache.commons.configuration2.io,CombinedLocationStrategy,1,100,0,53,0,8,1,100,0,15,1,100,0,7,7,0,3
Apache Commons Configuration,org.apache.commons.configuration2.web,BaseWebConfiguration,1,100,0,51,0,8,1,100,0,10,1,100,0,10,10,0,6
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiWrapDynaBean,1,100,0,152,0,10,1,100,0,33,1,100,0,17,17,0,12
Apache Commons Configuration,org.apache.commons.configuration2.io,HomeDirectoryLocationStrategy,1,100,0,69,0,10,1,100,0,24,1,100,0,13,13,0,8
Apache Commons Configuration,org.apache.commons.configuration2.reloading,ReloadingController,1,100,5,85,0,10,1,100,0,27,1,100,0,12,12,0,7
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodeIteratorAttribute,1,100,0,100,0,12,1,100,0,24,1,100,0,11,11,0,5
Apache Commons Configuration,org.apache.commons.configuration2.builder,AutoSaveListener,1,100,0,73,0,12,1,100,0,22,1,100,0,13,13,0,7
Apache Commons Configuration,org.apache.commons.configuration2.builder,DefaultParametersManager,1,100,0,93,0,12,1,100,0,25,1,100,0,12,12,0,6
Apache Commons Configuration,org.apache.commons.configuration2.reloading,PeriodicReloadingTrigger,1,100,0,106,0,12,1,100,0,34,1,100,0,16,16,0,10
Apache Commons Configuration,org.apache.commons.configuration2.tree,AbstractImmutableNodeHandler,1,100,0,115,0,14,1,100,0,24,1,100,0,22,22,0,15
Apache Commons Configuration,org.apache.commons.configuration2,StrictConfigurationComparator,1,100,0,63,0,16,1,100,0,19,1,100,0,10,10,0,2
Apache Commons Configuration,org.apache.commons.configuration2.tree,UnionCombiner,1,100,0,119,0,16,1,100,0,25,1,100,0,11,11,0,3
Apache Commons Configuration,org.apache.commons.configuration2.builder,FileBasedBuilderParametersImpl,1,100,0,206,0,18,1,100,0,65,1,100,0,30,30,0,21
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeTreeWalker,1,100,0,123,0,22,1,100,0,33,1,100,0,18,18,0,7
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,CombinedBeanDeclaration,1,100,0,153,0,26,1,100,0,41,1,100,0,20,20,0,7
Apache Commons Configuration,org.apache.commons.configuration2.convert,DefaultListDelimiterHandler,1,100,0,169,0,26,1,100,0,44,1,100,0,18,18,0,5
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodeIteratorChildren,1,100,0,194,0,30,1,100,0,50,1,100,0,22,22,0,7
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ConfigurationInterpolator,1,100,0,319,0,42,1,100,0,82,1,100,0,47,47,0,26
Apache Commons Configuration,org.apache.commons.configuration2.convert,DefaultConversionHandler,1,100,0,304,0,46,1,100,0,67,1,100,0,41,41,0,18
Apache Commons Configuration,org.apache.commons.configuration2.event,BaseEventSource,1,100,10,215,0,20,1,100,1,58,0.983050847,98.3050847,0,27,27,0,17
