GROUP,PACKAGE,CLASS,Mutation Coverage,M_P,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,B_Coverage,B_P,LINE_MISSED,LINE_COVERED,Statement_Coverage,S_P,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Complexity,METHOD_MISSED,METHOD_COVERED
Apache Commons Collections,org.apache.commons.collections4.map,UnmodifiableSortedMap,0.6,60,29,67,0,2,1,100,0,19,1,100,0,11,11,0,6
Apache Commons Collections,org.apache.commons.collections4.queue,UnmodifiableQueue,0.63,63,8,64,0,2,1,100,0,56,1,100,0,23,23,0,8
Apache Commons Collections,org.apache.commons.collections4.sequence,EditScript,0.67,67,3,69,0,2,1,100,0,15,1,100,0,6,6,0,3
Apache Commons Collections,org.apache.commons.collections4.map,EntrySetToMapIteratorAdapter,0.67,67,0,57,0,2,1,100,0,24,1,100,0,10,10,0,4
Apache Commons Collections,org.apache.commons.collections4.bag,AbstractBagDecorator,0.67,67,9,39,0,4,1,100,1,9,0.9,90,1,5,6,1,3
Apache Commons Collections,org.apache.commons.collections4.map,UnmodifiableOrderedMap,0.7,70,0,72,0,2,1,100,0,28,1,100,0,11,11,0,5
Apache Commons Collections,org.apache.commons.collections4.functors,WhileClosure,0.7,70,9,51,0,8,1,100,1,53,0.981481481,98.1481481,2,23,25,0,16
Apache Commons Collections,org.apache.commons.collections4.functors,PrototypeFactory,0.71,71,3,66,0,4,1,100,1,11,0.916666667,91.6666667,1,7,8,1,5
Apache Commons Collections,org.apache.commons.collections4.comparators,ComparableComparator,0.71,71,0,33,0,6,1,100,1,56,0.98245614,98.245614,1,21,22,0,11
Apache Commons Collections,org.apache.commons.collections4.list,PredicatedList,0.74,74,13,101,0,6,1,100,10,6,0.375,37.5,2,2,4,1,2
Apache Commons Collections,org.apache.commons.collections4.functors,FactoryTransformer,0.75,75,3,22,0,2,1,100,0,14,1,100,0,8,8,0,6
Apache Commons Collections,org.apache.commons.collections4.functors,TransformerClosure,0.75,75,3,21,0,2,1,100,0,14,1,100,0,8,8,0,6
Apache Commons Collections,org.apache.commons.collections4.functors,PredicateTransformer,0.75,75,3,24,0,2,1,100,0,15,1,100,0,8,8,0,5
Apache Commons Collections,org.apache.commons.collections4.functors,MapTransformer,0.8,80,3,20,0,2,1,100,0,10,1,100,0,8,8,0,7
Apache Commons Collections,org.apache.commons.collections4.functors,ConstantFactory,0.8,80,3,24,0,2,1,100,0,14,1,100,0,8,8,0,4
Apache Commons Collections,org.apache.commons.collections4.functors,TransformerPredicate,0.8,80,3,34,0,4,1,100,0,14,1,100,1,7,8,0,3
Apache Commons Collections,org.apache.commons.collections4.functors,NotPredicate,0.8,80,8,27,0,4,1,100,1,17,0.944444444,94.4444444,1,7,8,0,5
Apache Commons Collections,org.apache.commons.collections4.iterators,ArrayIterator,0.82,82,9,122,0,10,1,100,1,20,0.952380952,95.2380952,3,15,18,0,15
Apache Commons Collections,org.apache.commons.collections4.functors,NullIsTruePredicate,0.83,83,8,27,0,4,1,100,1,11,0.916666667,91.6666667,1,7,8,1,5
Apache Commons Collections,org.apache.commons.collections4.functors,IdentityPredicate,0.83,83,3,23,0,4,1,100,1,13,0.928571429,92.8571429,1,6,7,1,3
Apache Commons Collections,org.apache.commons.collections4.functors,NullIsFalsePredicate,0.83,83,8,27,0,4,1,100,1,19,0.95,95,1,7,8,1,6
Apache Commons Collections,org.apache.commons.collections4.functors,ChainedTransformer,0.83,83,4,78,0,10,1,100,3,20,0.869565217,86.9565217,3,12,15,3,11
Apache Commons Collections,org.apache.commons.collections4.collection,PredicatedCollection,0.84,84,0,94,0,8,1,100,2,26,0.928571429,92.8571429,2,18,20,1,15
Apache Commons Collections,org.apache.commons.collections4.functors,ForClosure,0.85,85,6,39,0,8,1,100,2,40,0.952380952,95.2380952,2,19,21,0,6
Apache Commons Collections,org.apache.commons.collections4.functors,ChainedClosure,0.85,85,4,91,0,12,1,100,5,21,0.807692308,80.7692308,4,11,15,2,7
Apache Commons Collections,org.apache.commons.collections4,EnumerationUtils,0.88,88,3,53,0,6,1,100,2,12,0.857142857,85.7142857,2,7,9,2,3
Apache Commons Collections,org.apache.commons.collections4.iterators,ObjectArrayIterator,0.88,88,6,105,0,12,1,100,4,33,0.891891892,89.1891892,4,14,18,0,9
