GROUP,PACKAGE,CLASS,Mutation Coverage,M_P,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,B_Coverage,B_P,LINE_MISSED,LINE_COVERED,Statement_Coverage,S_P,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Complexity,METHOD_MISSED,METHOD_COVERED
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMapMultiSet,0.18,18,14,425,5,43,0.895833333,89.5833333,16,246,0.938931298,93.8931298,13,95,108,1,32
Apache Commons Collections,org.apache.commons.collections4.functors,FunctorUtils,0.82,82,13,174,3,27,0.9,90,13,0,0,0,9,0,9,8,0
Apache Commons Collections,org.apache.commons.collections4.functors,OnePredicate,0.91,91,4,60,1,9,0.9,90,8,13,0.619047619,61.9047619,3,6,9,1,3
Apache Commons Collections,org.apache.commons.collections4.set,MapBackedSet,1,100,5,151,1,9,0.9,90,1,6,0.857142857,85.7142857,3,7,10,1,5
Apache Commons Collections,org.apache.commons.collections4.bag,AbstractMapBag,0.55,55,15,624,8,74,0.902439024,90.2439024,19,58,0.753246753,75.3246753,18,21,39,6,12
Apache Commons Collections,org.apache.commons.collections4.map,ListOrderedMap,0.48,48,22,433,4,38,0.904761905,90.4761905,7,30,0.810810811,81.0810811,11,16,27,1,9
Apache Commons Collections,org.apache.commons.collections4.functors,SwitchClosure,0.71,71,13,154,2,22,0.916666667,91.6666667,9,2,0.181818182,18.1818182,8,2,10,2,2
Apache Commons Collections,org.apache.commons.collections4.set,ListOrderedSet,0.91,91,10,298,3,33,0.916666667,91.6666667,15,0,0,0,11,0,11,10,0
Apache Commons Collections,org.apache.commons.collections4.functors,AnyPredicate,0.93,93,4,67,1,11,0.916666667,91.6666667,4,3,0.428571429,42.8571429,4,1,5,2,1
Apache Commons Collections,org.apache.commons.collections4.queue,CircularFifoQueue,0.93,93,27,337,4,44,0.916666667,91.6666667,5,37,0.880952381,88.0952381,14,16,30,0,9
